,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無視,が、外に出たら【特に人ドウリが多い場所】冷たいと思われても無視をすることです。自分の身は自分しか守れません,"['が', '、', '外', 'に', '出', 'たら', '【', '特に', '人', 'ドウリ', 'が', '多い', '場所', '】', '冷たい', 'と', '思わ', 'れ', 'て', 'も', '無視', 'を', 'する', 'こと', 'です', '。', '自分', 'の', '身', 'は', '自分', 'しか', '守れ', 'ませ', 'ん']",['無視'],NO,無視,NO,NO
1,無視,きくのは、ひたすら無視。怒ってきても、何をしてきても無視。彼女が怒ってきたら、その場に彼女をおいて去ってみるとか。彼女,"['きく', 'の', 'は', '、', 'ひたすら', '無視', '。', '怒っ', 'て', 'き', 'て', 'も', '、', '何', 'を', 'し', 'て', 'き', 'て', 'も', '無視', '。', '彼女', 'が', '怒っ', 'て', 'き', 'たら', '、', 'その', '場', 'に', '彼女', 'を', 'おい', 'て', '去っ', 'て', 'みる', 'と', 'か', '。', '彼女']",['無視'],NO,無視,NO,NO
2,無視,きくのは、ひたすら無視。怒ってきても、何をしてきても無視。彼女が怒ってきたら、その場に彼女をおいて去ってみるとか。彼女,"['きく', 'の', 'は', '、', 'ひたすら', '無視', '。', '怒っ', 'て', 'き', 'て', 'も', '、', '何', 'を', 'し', 'て', 'き', 'て', 'も', '無視', '。', '彼女', 'が', '怒っ', 'て', 'き', 'たら', '、', 'その', '場', 'に', '彼女', 'を', 'おい', 'て', '去っ', 'て', 'みる', 'と', 'か', '。', '彼女']",['無視'],NO,無視,NO,NO
3,無視,、右前打。（★マイナーのオープン戦というのはものすごく融通が利いて、打順の無視など日常茶飯事、リハビリ出場の大リーガーが毎イニング先頭打者に立ったり、同一イニングで何回も打席に入ることもある,"['、', '右前', '打', '。', '（', '★', 'マイナー', 'の', 'オープン', '戦', 'と', 'いう', 'の', 'は', 'ものすごく', '融通', 'が', '利い', 'て', '、', '打順', 'の', '無視', 'など', '日常', '茶飯', '事', '、', 'リハビリ', '出場', 'の', '大', 'リーガー', 'が', '毎', 'イニング', '先頭', '打者', 'に', '立っ', 'たり', '、', '同一', 'イニング', 'で', '何', '回', 'も', '打席', 'に', '入る', 'こと', 'も', 'ある']",['無視'],NO,無視,NO,NO
4,無視,か道玄坂などシンボル的な街並みの表通りについては懐旧的イメージにすがりついている人々と、全くそれを無視、表通り自体にハレとケでいえば「ハレ」的な昂揚感のないゾーンについて拒否する若者たちとの,"['か', '道玄坂', 'など', 'シンボル', '的', 'な', '街並み', 'の', '表通り', 'に', 'つい', 'て', 'は', '懐旧', '的', 'イメージ', 'に', 'すがりつい', 'て', 'いる', '人々', 'と', '、', '全く', 'それ', 'を', '無視', '、', '表通り', '自体', 'に', 'ハレ', 'と', 'ケ', 'で', 'いえ', 'ば', '「', 'ハレ', '」', '的', 'な', '昂揚', '感', 'の', 'ない', 'ゾーン', 'に', 'つい', 'て', '拒否', 'する', '若者', 'たち', 'と', 'の']",['無視'],NO,無視,NO,NO
5,無視,の悪い人だったのですね。私も評価どころか、入金したとメールしても無視、発送のメールも無し、こちらが評価入れても無視された人がいます,"['の', '悪い', '人', 'だっ', 'た', 'の', 'です', 'ね', '。', '私', 'も', '評価', 'どころ', 'か', '、', '入金', 'し', 'た', 'と', 'メール', 'し', 'て', 'も', '無視', '、', '発送', 'の', 'メール', 'も', '無し', '、', 'こちら', 'が', '評価', '入れ', 'て', 'も', '無視', 'さ', 'れ', 'た', '人', 'が', 'い', 'ます']",['無視'],NO,無視,NO,NO
6,無視,の悪い人だったのですね。私も評価どころか、入金したとメールしても無視、発送のメールも無し、こちらが評価入れても無視された人がいます,"['の', '悪い', '人', 'だっ', 'た', 'の', 'です', 'ね', '。', '私', 'も', '評価', 'どころ', 'か', '、', '入金', 'し', 'た', 'と', 'メール', 'し', 'て', 'も', '無視', '、', '発送', 'の', 'メール', 'も', '無し', '、', 'こちら', 'が', '評価', '入れ', 'て', 'も', '無視', 'さ', 'れ', 'た', '人', 'が', 'い', 'ます']",['無視'],NO,無視,NO,NO
7,無視,アレジがベルガーの前を走ることになった。ところがピットからのベルガー先行のオーダーをアレジが無視。終盤ようやくアレジが譲って４、５位でチェッカーを受けたが、ティーム内は険悪,"['アレジ', 'が', 'ベルガー', 'の', '前', 'を', '走る', 'こと', 'に', 'なっ', 'た', '。', 'ところ', 'が', 'ピット', 'から', 'の', 'ベルガー', '先行', 'の', 'オーダー', 'を', 'アレジ', 'が', '無視', '。', '終盤', 'ようやく', 'アレジ', 'が', '譲っ', 'て', '４、５', '位', 'で', 'チェッカー', 'を', '受け', 'た', 'が', '、', 'ティーム', '内', 'は', '険悪']",['無視'],NO,無視,NO,NO
8,無視,彼氏とのペアリングをなくしてしまい、ごめんねメールしたら無視・・・付き合いだして１ヶ月、遠距離じゃないのに１回も会ってないので彼氏って気,"['彼氏', 'と', 'の', 'ペアリング', 'を', 'なくし', 'て', 'しまい', '、', 'ごめん', 'ね', 'メール', 'し', 'たら', '無視', '・', '・', '・', '付き合い', 'だし', 'て', '１', 'ヶ月', '、', '遠', '距離', 'じゃ', 'ない', 'の', 'に', '１', '回', 'も', '会っ', 'て', 'ない', 'の', 'で', '彼氏', 'って', '気']",['無視'],NO,無視,NO,NO
9,無視,だけがいいのでしょうか？でも、何話したらいいのか？悩みます働いてる人は無視は出来ないのでかなり苦痛だと思います。見てるだけでおねがいします。,"['だけ', 'が', 'いい', 'の', 'でしょう', 'か', '？', 'で', 'も', '、', '何', '話し', 'たら', 'いい', 'の', 'か', '？', '悩み', 'ます', '働い', 'てる', '人', 'は', '無視', 'は', '出来', 'ない', 'の', 'で', 'かなり', '苦痛', 'だ', 'と', '思い', 'ます', '。', '見', 'てる', 'だけ', 'で', 'お', 'ねがい', 'し', 'ます', '。']",['無視'],NO,無視,NO,NO
10,無視,作品に対する同時代の困惑の表情がよく伝わってくるが、それ以後も最近になるまで無視と困惑の時代が続いていた。見当外れの多い同時代評の中で研究史に取りこめるの,"['作品', 'に', '対する', '同', '時代', 'の', '困惑', 'の', '表情', 'が', 'よく', '伝わっ', 'て', 'くる', 'が', '、', 'それ', '以後', 'も', '最近', 'に', 'なる', 'まで', '無視', 'と', '困惑', 'の', '時代', 'が', '続い', 'て', 'い', 'た', '。', '見当', '外れ', 'の', '多い', '同', '時代', '評', 'の', '中', 'で', '研究', '史', 'に', '取りこめる', 'の']",['無視'],NO,無視,NO,NO
11,無視,どころか借金分さえも無理でした。夫の両親も、離婚後は全く関係ないと無視です。借金を抱えての再出発に、最初は精神状態もおかしくなりそうでしたが,"['どころ', 'か', '借金', '分', 'さえ', 'も', '無理', 'でし', 'た', '。', '夫', 'の', '両親', 'も', '、', '離婚', '後', 'は', '全く', '関係', 'ない', 'と', '無視', 'です', '。', '借金', 'を', '抱え', 'て', 'の', '再', '出発', 'に', '、', '最初', 'は', '精神', '状態', 'も', 'おかしく', 'なり', 'そう', 'でし', 'た', 'が']",['無視'],NO,無視,NO,NO
