,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,作家,高円宮コレクションから〈切られ與三郎〉がその表紙を飾った。中村はレイモンド・ブッシェルが支援した作家だ。そればかりか「本のタイトルも歌舞伎の題名のような工夫をしたら,"['高', '円', '宮', 'コレクション', 'から', '〈', '切ら', 'れ', '與', '三郎', '〉', 'が', 'その', '表紙', 'を', '飾った', '。', '中村', 'は', 'レイモンド', '・', 'ブッシェル', 'が', '支援', 'した', '作家', 'だ', '。', 'そればかりか', '「', '本', 'の', 'タイトル', 'も', '歌舞伎', 'の', '題名', 'の', 'ような', '工夫', 'を', 'したら']",['作家'],NO,作家,NO,NO
1,作家,ため七十六歳で亡くなりました。２度もピューリッツァー賞の栄誉に輝きましたし、多作な作家だったので、アメリカ文学に興味のない人でも名前は聞いたことがあるのではないでしょうか,"['ため', '七十六', '歳', 'で', '亡くなり', 'ました', '。', '２', '度', 'も', 'ピューリッツァー', '賞', 'の', '栄誉', 'に', '輝き', 'ました', 'し', '、', '多作', 'な', '作家', 'だった', 'ので', '、', 'アメリカ', '文学', 'に', '興味', 'の', 'ない', '人', 'でも', '名前', 'は', '聞いた', 'こと', 'が', 'ある', 'ので', 'は', 'ない', 'でしょう', 'か']",['作家'],NO,作家,NO,NO
2,作家,ていたときです。かなり公共の激突はエキサイトしていました。それを見て作家の松本清張氏は、イデオロギーは違っても同じ庶民、大衆の基盤に立つ公明・共産両党が泥仕合的対決,"['ていた', 'とき', 'です', '。', 'かなり', '公共', 'の', '激突', 'は', 'エキサイト', 'して', 'い', 'ました', '。', 'それ', 'を', '見て', '作家', 'の', '松本', '清', '張', '氏', 'は', '、', 'イデオロギー', 'は', '違って', 'も', '同じ', '庶民', '、', '大衆', 'の', '基盤', 'に', '立つ', '公明', '・', '共産', '両党', 'が', '泥仕合', '的', '対決']",['作家'],NO,作家,NO,NO
3,作家,』に現れた。革命と内戦の時代には、プリモーリエでは、多くの作家やジャーナリストは、様々な社会階層と政党の代表者たちであった。千九百十八年にはウラジオストクに,"['』', 'に', '現れた', '。', '革命', 'と', '内戦', 'の', '時代', 'に', 'は', '、', 'プリモーリエ', 'で', 'は', '、', '多く', 'の', '作家', 'や', 'ジャーナリスト', 'は', '、', '様々な', '社会', '階層', 'と', '政党', 'の', '代表', '者', 'たち', 'であった', '。', '千九百十八', '年', 'に', 'は', 'ウラジオストク', 'に']",['作家'],NO,作家,NO,NO
4,作家,土）午前十時三十分〜場所石川県輪島漆芸美術館講義室内容十：三十〜記念式典十三：三十〜記念講演「作家のこころ」講師■■■■氏（県立美術館長）十五：００〜人間国宝座談会●四十年のあゆみ展期間,"['土', '）', '午前', '十', '時', '三十', '分', '〜', '場所', '石川', '県', '輪島', '漆', '芸', '美術', '館', '講義', '室', '内容', '十', '：', '三十', '〜', '記念', '式典', '十三', '：', '三十', '〜', '記念', '講演', '「', '作家', 'の', 'ここ', 'ろ', '」', '講師', '■■■■', '氏', '（', '県立', '美術', '館長', '）', '十五', '：', '００', '〜', '人間', '国宝', '座談', '会', '●', '四十', '年', 'の', 'あゆみ', '展', '期間']",['作家'],NO,作家,NO,NO
5,作家,こんなことをいうのは残念だが、彼はとてもいい作家だよ。今の作家の中では好きな一人だった…」「実際に会うまではね」,"['こんな', 'こと', 'を', 'いう', 'の', 'は', '残念だ', 'が', '、', '彼', 'は', 'とても', 'いい', '作家', 'だ', 'よ', '。', '今', 'の', '作家', 'の', '中', 'で', 'は', '好きな', '一', '人', 'だった', '…', '」', '「', '実際', 'に', '会う', 'まで', 'は', 'ね', '」']",['作家'],NO,作家,NO,NO
6,作家,こんなことをいうのは残念だが、彼はとてもいい作家だよ。今の作家の中では好きな一人だった…」「実際に会うまではね」,"['こんな', 'こと', 'を', 'いう', 'の', 'は', '残念だ', 'が', '、', '彼', 'は', 'とても', 'いい', '作家', 'だ', 'よ', '。', '今', 'の', '作家', 'の', '中', 'で', 'は', '好きな', '一', '人', 'だった', '…', '」', '「', '実際', 'に', '会う', 'まで', 'は', 'ね', '」']",['作家'],NO,作家,NO,NO
7,作家,も収録しなければならないはずだが、しかし現行の個人全集が必ずしもそこまで拡げないのは、作家としての「生活」と日常の「生活」との間に一種の線引きをし,"['も', '収録', 'し', 'なければ', 'なら', 'ない', 'はずだ', 'が', '、', 'しかし', '現行', 'の', '個人', '全集', 'が', '必ずしも', 'そこ', 'まで', '拡げ', 'ない', 'の', 'は', '、', '作家', 'と', 'して', 'の', '「', '生活', '」', 'と', '日常', 'の', '「', '生活', '」', 'と', 'の', '間', 'に', '一種', 'の', '線引き', 'を', 'し']",['作家'],NO,作家,NO,NO
8,作家,でフィクションとは異なった特質を持つものである。歴史小説や訪問記が一貫してソ連の作家に好まれるのは、フィクションに課される厳しい検閲から逃れる方法だからであるが、,"['で', 'フィクション', 'と', 'は', '異なった', '特質', 'を', '持つ', 'もの', 'である', '。', '歴史', '小説', 'や', '訪問', '記', 'が', '一貫', 'して', 'ソ連', 'の', '作家', 'に', '好ま', 'れる', 'の', 'は', '、', 'フィクション', 'に', '課さ', 'れる', '厳しい', '検閲', 'から', '逃れる', '方法', 'だ', 'から', 'である', 'が', '、']",['作家'],NO,作家,NO,NO
9,作家,置いた。「あんたは画家だろ？」と男はラットナーに問いかける。「あんたは作家だな？」今度は私を見ていう。「聞くまでもないことさ。会った,"['置いた', '。', '「', 'あんた', 'は', '画家', 'だろ', '？', '」', 'と', '男', 'は', 'ラットナー', 'に', '問い', 'かける', '。', '「', 'あんた', 'は', '作家', 'だ', 'な', '？', '」', '今度', 'は', '私', 'を', '見て', 'いう', '。', '「', '聞く', 'まで', 'も', 'ない', 'こと', 'さ', '。', '会った']",['作家'],NO,作家,NO,NO
10,作家,まさしく、山田君の言うとおりだ、アガサ・クリスティをのぞけば、もうシャーロック・ホームズでも、他の作家でもみんな晩年になると、落ちてる。生活には困らない、熟練ちゅうことが,"['まさしく', '、', '山田', '君', 'の', '言う', 'とおり', 'だ', '、', 'アガサ', '・', 'クリスティ', 'を', 'のぞけば', '、', 'もう', 'シャーロック', '・', 'ホームズ', 'でも', '、', '他の', '作家', 'でも', 'みんな', '晩年', 'に', 'なる', 'と', '、', '落ちて', 'る', '。', '生活', 'に', 'は', '困ら', 'ない', '、', '熟練', 'ちゅうこ', 'と', 'が']",['作家'],NO,作家,NO,NO
11,作家,私は言った。「本を別にすれば、なんの罪も犯してない作家の弁護を、なぜあなたはなさらないんですか？」「彼らは神経に障る,"['私', 'は', '言った', '。', '「', '本', 'を', '別に', 'すれば', '、', 'なんの', '罪', 'も', '犯して', 'ない', '作家', 'の', '弁護', 'を', '、', 'なぜ', 'あなた', 'は', 'なさら', 'ない', 'んです', 'か', '？', '」', '「', '彼', 'ら', 'は', '神経', 'に', '障る']",['作家'],NO,作家,NO,NO
12,作家,が犠牲者となって、わたしにテーマを提供してくれたのです。編集者の仕事も、作家や役者のような、とまでいきませんが、家族やまわりの人の犠牲,"['が', '犠牲', '者', 'と', 'なって', '、', 'わたし', 'に', 'テーマ', 'を', '提供', 'して', 'くれた', 'のです', '。', '編集', '者', 'の', '仕事', 'も', '、', '作家', 'や', '役者', 'の', 'ような', '、', 'と', 'まで', 'いきま', 'せ', 'ん', 'が', '、', '家族', 'や', 'まわり', 'の', '人', 'の', '犠牲']",['作家'],NO,作家,NO,NO
13,作家,ではないかと。この投書を読んだ東北出身の人から反論の投書が来て、作家の立腹は誤解によることが分かった。「オサキシマス」東北出身の人は職場など,"['では', 'ない', 'か', 'と', '。', 'この', '投書', 'を', '読んだ', '東北', '出身', 'の', '人', 'から', '反論', 'の', '投書', 'が', '来て', '、', '作家', 'の', '立腹', 'は', '誤解', 'に', 'よる', 'こと', 'が', '分かった', '。', '「', 'オサキシマス', '」', '東北', '出身', 'の', '人', 'は', '職場', 'など']",['作家'],NO,作家,NO,NO
14,作家,軟式野球部に所属すると同時に、現在「ウイーン九十四」というクラブチームの強豪に所属している。作家の軍司貞則氏が監督。そこで志村は投手兼助監督をしている。軍司氏には監督を,"['軟式', '野球', '部', 'に', '所属', 'する', 'と', '同時に', '、', '現在', '「', 'ウイーン', '九十四', '」', 'と', 'いう', 'クラブチーム', 'の', '強豪', 'に', '所属', 'して', 'いる', '。', '作家', 'の', '軍', '司', '貞則', '氏', 'が', '監督', '。', 'そこ', 'で', '志村', 'は', '投手', '兼', '助監督', 'を', 'して', 'いる', '。', '軍', '司', '氏', 'に', 'は', '監督', 'を']",['作家'],NO,作家,NO,NO
15,作家,二訓練の足りない作家へアーサー・ヘルプス卿は、『政体に関する考察』というかの学識豊かな著書の中で,"['二', '訓練', 'の', '足り', 'ない', '作家', 'へ', 'アーサー', '・', 'ヘルプス', '卿', 'は', '、', '『', '政体', 'に', '関する', '考察', '』', 'と', 'いう', 'か', 'の', '学識', '豊かな', '著書', 'の', '中', 'で']",['作家'],NO,作家,NO,NO
16,作家,宣言すればよい。売れていようといまいと、小説を書いていようといまいと、作家だと宣言している人は作家なんだ。」名言ですよね。,"['宣言', 'すれば', 'よい', '。', '売れて', 'いよう', 'と', 'いま', 'いと', '、', '小説', 'を', '書いて', 'いよう', 'と', 'いま', 'いと', '、', '作家', 'だ', 'と', '宣言', 'して', 'いる', '人', 'は', '作家', 'な', 'んだ', '。', '」', '名言', 'です', 'よ', 'ね', '。']",['作家'],NO,作家,NO,NO
17,作家,宣言すればよい。売れていようといまいと、小説を書いていようといまいと、作家だと宣言している人は作家なんだ。」名言ですよね。,"['宣言', 'すれば', 'よい', '。', '売れて', 'いよう', 'と', 'いま', 'いと', '、', '小説', 'を', '書いて', 'いよう', 'と', 'いま', 'いと', '、', '作家', 'だ', 'と', '宣言', 'して', 'いる', '人', 'は', '作家', 'な', 'んだ', '。', '」', '名言', 'です', 'よ', 'ね', '。']",['作家'],NO,作家,NO,NO
18,作家,朝鮮民族の一部分であるからだ」（前出「一在日朝鮮人の独白」）これは端的な作家の過去・現在・未来観である。『火山島』の世界もこの思想によって支えられる。「南朝鮮で,"['朝鮮', '民族', 'の', '一部分', 'である', 'から', 'だ', '」', '（', '前出', '「', '一', '在', '日', '朝鮮', '人', 'の', '独白', '」', '）', 'これ', 'は', '端的な', '作家', 'の', '過去', '・', '現在', '・', '未来', '観', 'である', '。', '『', '火山', '島', '』', 'の', '世界', 'も', 'この', '思想', 'に', 'よって', '支え', 'られる', '。', '「', '南', '朝鮮', 'で']",['作家'],NO,作家,NO,NO
19,作家,でしょう」とわかってしまう。漫画の擬音を見たり聞いたりしただけで判じられる作家というのはそうはいない。これだけでも水木御大はすごいなぁと僕は思っ,"['でしょう', '」', 'と', 'わかって', 'しまう', '。', '漫画', 'の', '擬音', 'を', '見たり', '聞いたり', 'した', 'だけ', 'で', '判', 'じら', 'れる', '作家', 'と', 'いう', 'の', 'は', 'そう', 'は', 'い', 'ない', '。', 'これ', 'だけ', 'でも', '水', '木', '御', '大', 'は', 'すごい', 'な', 'ぁと', '僕', 'は', '思っ']",['作家'],NO,作家,NO,NO
20,作家,「ホットケーキ」、高木喜峰作。古根付「白蔵主」「手のひらの中の宇宙」海外にまで広く作家を輩出している根付の世界だが、根付とは直接かかわりのないような思いがけない,"['「', 'ホットケーキ', '」', '、', '高木', '喜', '峰', '作', '。', '古', '根', '付', '「', '白', '蔵', '主', '」', '「', '手のひら', 'の', '中', 'の', '宇宙', '」', '海外', 'に', 'まで', '広く', '作家', 'を', '輩出', 'して', 'いる', '根', '付', 'の', '世界', 'だ', 'が', '、', '根', '付', 'と', 'は', '直接', 'かかわり', 'の', 'ない', 'ような', '思いがけない']",['作家'],NO,作家,NO,NO
21,作家,れ、作家が看板のデザインを描き展示する。市内の商店は、それらを見て作家に看板の製作を依頼するのである。町に個性的な看板が多いのはそのためだ,"['れ', '、', '作家', 'が', '看板', 'の', 'デザイン', 'を', '描き', '展示', 'する', '。', '市', '内', 'の', '商店', 'は', '、', 'それ', 'ら', 'を', '見て', '作家', 'に', '看板', 'の', '製作', 'を', '依頼', 'する', 'のである', '。', '町', 'に', '個性', '的な', '看板', 'が', '多い', 'の', 'は', 'その', 'ため', 'だ']",['作家'],NO,作家,NO,NO
22,作家,れ、作家が看板のデザインを描き展示する。市内の商店は、それらを見て作家に看板の製作を依頼するのである。町に個性的な看板が多いのはそのためだ,"['れ', '、', '作家', 'が', '看板', 'の', 'デザイン', 'を', '描き', '展示', 'する', '。', '市', '内', 'の', '商店', 'は', '、', 'それ', 'ら', 'を', '見て', '作家', 'に', '看板', 'の', '製作', 'を', '依頼', 'する', 'のである', '。', '町', 'に', '個性', '的な', '看板', 'が', '多い', 'の', 'は', 'その', 'ため', 'だ']",['作家'],NO,作家,NO,NO
23,作家,象徴ともいえよう。昭和四十年代の末に「作家の表象」と題して、作家が作品に表出したシンボルをとらえ、その作家の持続的・根源的なライト・モチーフ、作家の原風景を,"['象徴', 'と', 'も', 'いえよう', '。', '昭和', '四十', '年', '代', 'の', '末', 'に', '「', '作家', 'の', '表', '象', '」', 'と', '題して', '、', '作家', 'が', '作品', 'に', '表出', 'した', 'シンボル', 'を', 'とらえ', '、', 'その', '作家', 'の', '持続', '的', '・', '根源', '的な', 'ライト', '・', 'モチーフ', '、', '作家', 'の', '原', '風景', 'を']",['作家'],NO,作家,NO,NO
24,作家,象徴ともいえよう。昭和四十年代の末に「作家の表象」と題して、作家が作品に表出したシンボルをとらえ、その作家の持続的・根源的なライト・モチーフ、作家の原風景を,"['象徴', 'と', 'も', 'いえよう', '。', '昭和', '四十', '年', '代', 'の', '末', 'に', '「', '作家', 'の', '表', '象', '」', 'と', '題して', '、', '作家', 'が', '作品', 'に', '表出', 'した', 'シンボル', 'を', 'とらえ', '、', 'その', '作家', 'の', '持続', '的', '・', '根源', '的な', 'ライト', '・', 'モチーフ', '、', '作家', 'の', '原', '風景', 'を']",['作家'],NO,作家,NO,NO
25,作家,象徴ともいえよう。昭和四十年代の末に「作家の表象」と題して、作家が作品に表出したシンボルをとらえ、その作家の持続的・根源的なライト・モチーフ、作家の原風景を,"['象徴', 'と', 'も', 'いえよう', '。', '昭和', '四十', '年', '代', 'の', '末', 'に', '「', '作家', 'の', '表', '象', '」', 'と', '題して', '、', '作家', 'が', '作品', 'に', '表出', 'した', 'シンボル', 'を', 'とらえ', '、', 'その', '作家', 'の', '持続', '的', '・', '根源', '的な', 'ライト', '・', 'モチーフ', '、', '作家', 'の', '原', '風景', 'を']",['作家'],NO,作家,NO,NO
26,作家,象徴ともいえよう。昭和四十年代の末に「作家の表象」と題して、作家が作品に表出したシンボルをとらえ、その作家の持続的・根源的なライト・モチーフ、作家の原風景を,"['象徴', 'と', 'も', 'いえよう', '。', '昭和', '四十', '年', '代', 'の', '末', 'に', '「', '作家', 'の', '表', '象', '」', 'と', '題して', '、', '作家', 'が', '作品', 'に', '表出', 'した', 'シンボル', 'を', 'とらえ', '、', 'その', '作家', 'の', '持続', '的', '・', '根源', '的な', 'ライト', '・', 'モチーフ', '、', '作家', 'の', '原', '風景', 'を']",['作家'],NO,作家,NO,NO
27,作家,突然に心不全で死去するのである。オホーツクをいとしみつつも、オホークのきびしさとたたかうひとりの作家の最後の姿だった。氷塊の花（提供・金打富春）これは流氷だ―椎名誠の,"['突然に', '心', '不全', 'で', '死去', 'する', 'のである', '。', 'オホーツク', 'を', 'いとし', 'み', 'つつ', 'も', '、', 'オホーク', 'の', 'きびし', 'さ', 'と', 'たたかう', 'ひと', 'り', 'の', '作家', 'の', '最後の', '姿', 'だった', '。', '氷', '塊', 'の', '花', '（', '提供', '・', '金', '打', '富', '春', '）', 'これ', 'は', '流氷', 'だ', '―', '椎名', '誠', 'の']",['作家'],NO,作家,NO,NO
28,作家,レッスンや合宿に出かけ、気分はすっかり二十代という毎日だった。卒論にとりあげた作家はいうまでもなく、向田邦子。入学のときから決めていたことだった。短篇集『思い出トランプ』は,"['レッスン', 'や', '合宿', 'に', '出かけ', '、', '気分', 'は', 'すっかり', '二十', '代', 'と', 'いう', '毎日', 'だった', '。', '卒論', 'に', 'とり', 'あげた', '作家', 'は', 'いう', 'まで', 'も', 'なく', '、', '向田', '邦子', '。', '入学', 'の', 'とき', 'から', '決めて', 'いた', 'こと', 'だった', '。', '短', '篇', '集', '『', '思い出', 'トランプ', '』', 'は']",['作家'],NO,作家,NO,NO
29,作家,。なぜか’０４年前後発刊の話題になって読んでいないまま心に残ってる日本の作家幾つかを優先的に選ぶ。書評を聴いたまま手をつけてなかったのと、,"['。', 'なぜ', 'か', '’', '０４', '年', '前後', '発刊', 'の', '話題', 'に', 'なって', '読んで', 'い', 'ない', 'まま', '心', 'に', '残って', 'る', '日本', 'の', '作家', '幾', 'つ', 'か', 'を', '優先', '的に', '選ぶ', '。', '書評', 'を', '聴いた', 'まま', '手', 'を', 'つけて', 'なかった', 'の', 'と', '、']",['作家'],NO,作家,NO,NO
30,作家,編集者でも紹介して欲しいと思うのだろう。しかし、正直言って、これは迷惑である。作家というのは、書く立場であって、人の原稿を買う立場ではない。確かに、,"['編集', '者', 'でも', '紹介', 'して', '欲しい', 'と', '思う', 'のだろう', '。', 'しかし', '、', '正直', '言って', '、', 'これ', 'は', '迷惑である', '。', '作家', 'と', 'いう', 'の', 'は', '、', '書く', '立場', 'であって', '、', '人', 'の', '原稿', 'を', '買う', '立場', 'で', 'は', 'ない', '。', '確かに', '、']",['作家'],NO,作家,NO,NO
31,作家,によって真相追及の同時代作家というせまい定説を打ちやぶる作品となった。後日「評伝松本清張」に挑む作家がいたら、この映像作品をさけて通れないだろう。関係者のたっての願い,"['に', 'よって', '真相', '追及', 'の', '同', '時代', '作家', 'と', 'いう', 'せまい', '定説', 'を', '打ちやぶる', '作品', 'と', 'なった', '。', '後日', '「', '評伝', '松本', '清', '張', '」', 'に', '挑む', '作家', 'が', 'いたら', '、', 'この', '映像', '作品', 'を', 'さけて', '通れ', 'ない', 'だろう', '。', '関係', '者', 'の', 'たって', 'の', '願い']",['作家'],NO,作家,NO,NO
32,作家,によって真相追及の同時代作家というせまい定説を打ちやぶる作品となった。後日「評伝松本清張」に挑む作家がいたら、この映像作品をさけて通れないだろう。関係者のたっての願い,"['に', 'よって', '真相', '追及', 'の', '同', '時代', '作家', 'と', 'いう', 'せまい', '定説', 'を', '打ちやぶる', '作品', 'と', 'なった', '。', '後日', '「', '評伝', '松本', '清', '張', '」', 'に', '挑む', '作家', 'が', 'いたら', '、', 'この', '映像', '作品', 'を', 'さけて', '通れ', 'ない', 'だろう', '。', '関係', '者', 'の', 'たって', 'の', '願い']",['作家'],NO,作家,NO,NO
33,作家,、ジルベルト・ジル（現・文化大臣）ほか、ブラジルを代表するミュージシャンも多数輩出している。同時代のすべての作家をして、誰しもが一度は彼になりたかったと言わしめた類い希,"['、', 'ジルベルト', '・', 'ジル', '（', '現', '・', '文化', '大臣', '）', 'ほか', '、', 'ブラジル', 'を', '代表', 'する', 'ミュージシャン', 'も', '多数', '輩出', 'して', 'いる', '。', '同', '時代', 'の', 'すべて', 'の', '作家', 'を', 'して', '、', '誰しも', 'が', '一', '度', 'は', '彼', 'に', 'なり', 'たかった', 'と', '言わ', 'しめた', '類い', '希']",['作家'],NO,作家,NO,NO
34,作家,いろいろな仕事を同等にやるという意味なのだろう。例えば、最近亡くなった諸井薫氏は、作家として死亡広告が出たが、彼は、社長業もやり、雑誌編集者としても名を成す,"['いろいろな', '仕事', 'を', '同等に', 'やる', 'と', 'いう', '意味', 'な', 'のだろう', '。', '例えば', '、', '最近', '亡くなった', '諸井薫', '氏', 'は', '、', '作家', 'と', 'して', '死亡', '広告', 'が', '出た', 'が', '、', '彼', 'は', '、', '社長', '業', 'も', 'やり', '、', '雑誌', '編集', '者', 'と', 'して', 'も', '名', 'を', '成す']",['作家'],NO,作家,NO,NO
35,作家,の職業上やはり無理な話だといふことを、ナボコフが知らなかつたはずはない。作家である彼（主人公）の前途に待ち受けるものは、帝政ロシアのそれよりももつと苛酷,"['の', '職業', '上', 'やはり', '無理な', '話', 'だ', 'といふこと', 'を', '、', 'ナボコフ', 'が', '知ら', 'なか', 'つた', 'はず', 'は', 'ない', '。', '作家', 'である', '彼', '（', '主人公', '）', 'の', '前途', 'に', '待ち受ける', 'もの', 'は', '、', '帝政', 'ロシア', 'の', 'それ', 'より', 'も', 'もつ', 'と', '苛酷']",['作家'],NO,作家,NO,NO
36,作家,が出たときは、すぐ受診できるかかりつけの医師を持っていることもたいせつです。作家であり評論家の塩田丸男さんは、朝刊を読むことで健康チェックをしているそうです。塩田さんは,"['が', '出た', 'とき', 'は', '、', 'すぐ', '受診', 'できる', 'かかりつけ', 'の', '医師', 'を', '持って', 'いる', 'こと', 'も', 'たいせつです', '。', '作家', 'であり', '評論', '家', 'の', '塩田', '丸', '男', 'さん', 'は', '、', '朝刊', 'を', '読む', 'こと', 'で', '健康', 'チェック', 'を', 'して', 'いる', 'そうです', '。', '塩田', 'さん', 'は']",['作家'],NO,作家,NO,NO
37,作家,てリーガル・サスペンス（スリラー）の地盤沈下といった現象もおきた。だが、近年、実力のある作家が登場して、この分野はふたたび活況を見せている。本書でデビューしたスティーヴン・ホーンがその,"['て', 'リーガル', '・', 'サスペンス', '（', 'スリラー', '）', 'の', '地盤', '沈下', 'と', 'いった', '現象', 'も', 'おきた', '。', 'だが', '、', '近年', '、', '実力', 'の', 'ある', '作家', 'が', '登場', 'して', '、', 'この', '分野', 'は', 'ふたたび', '活況', 'を', '見せて', 'いる', '。', '本書', 'で', 'デビュー', 'した', 'スティーヴン', '・', 'ホーン', 'が', 'その']",['作家'],NO,作家,NO,NO
38,作家,「虚構の春」「狂言の神」「創生記」「鷗」「駈込み訴へ」「作家の像」「乞食学生」「ろまん燈籠」『新ハムレット』「風の便り」「一問一答」,"['「', '虚構', 'の', '春', '」', '「', '狂言', 'の', '神', '」', '「', '創', '生', '記', '」', '「', '鷗', '」', '「', '駈込', 'み', '訴', 'へ', '」', '「', '作家', 'の', '像', '」', '「', '乞食', '学生', '」', '「', 'ろ', 'まん', '燈籠', '」', '『', '新', 'ハムレット', '』', '「', '風', 'の', '便り', '」', '「', '一問一答', '」']",['作家'],NO,作家,NO,NO
39,作家,かも知れない。結構しんどくって、まだほとんど手をつけていないのだが。もとよりあまり売れる作家ではなく、講談社文庫も『虚無への供物』が二十二版という他はほつほつというところだから,"['かも', '知れ', 'ない', '。', '結構', 'しんどく', 'って', '、', 'まだ', 'ほとんど', '手', 'を', 'つけて', 'い', 'ない', 'のだ', 'が', '。', 'もとより', 'あまり', '売れる', '作家', 'で', 'は', 'なく', '、', '講談', '社', '文庫', 'も', '『', '虚無', 'へ', 'の', '供物', '』', 'が', '二十二', '版', 'と', 'いう', '他', 'は', 'ほ', 'つ', 'ほ', 'つ', 'と', 'いう', 'ところ', 'だ', 'から']",['作家'],NO,作家,NO,NO
40,作家,』という題も決めるのにすごくもめて苦心しました。バルザックはタイトルが下手な作家なんですね。スタンダールだと、『赤と黒』なんてカッコイイんですけれど。『ラブイユーズ,"['』', 'と', 'いう', '題', 'も', '決める', 'の', 'に', 'すごく', 'もめて', '苦心', 'し', 'ました', '。', 'バルザック', 'は', 'タイトル', 'が', '下手な', '作家', 'な', 'んです', 'ね', '。', 'スタンダール', 'だ', 'と', '、', '『', '赤', 'と', '黒', '』', 'なんて', 'カッコ', 'イイ', 'ん', 'ですけれど', '。', '『', 'ラブイユーズ']",['作家'],NO,作家,NO,NO
41,作家,、日常的な光景や物事を題材に、まるで「日記」を綴るかのように作家の私的風景が描き出されています。《Ｄｉａｒｙ：Ｏｃｔ．二十五ｔｈ’七十三》は,"['、', '日常', '的な', '光景', 'や', '物事', 'を', '題材', 'に', '、', 'まるで', '「', '日記', '」', 'を', '綴る', 'か', 'の', 'ように', '作家', 'の', '私的', '風景', 'が', '描き', '出さ', 'れて', 'い', 'ます', '。', '《', 'Ｄｉａｒｙ', '：', 'Ｏｃｔ', '．', '二十五', 'ｔｈ', '’', '七十三', '》', 'は']",['作家'],NO,作家,NO,NO
42,作家,歩く儒学者貝原益軒に学ぶ温故知新生き方学校第９講益軒流三楽パワーで人生全開講師／山崎光夫（作家）複雑な人間関係が横行する現代、他人のねたみや中傷などに翻弄させられること,"['歩く', '儒学', '者', '貝', '原', '益', '軒', 'に', '学ぶ', '温故', '知新', '生き', '方', '学校', '第', '９', '講', '益', '軒', '流', '三', '楽', 'パワー', 'で', '人生', '全開', '講師', '／', '山崎', '光', '夫', '（', '作家', '）', '複雑な', '人間', '関係', 'が', '横行', 'する', '現代', '、', '他人', 'の', 'ねたみ', 'や', '中傷', 'など', 'に', '翻弄', 'さ', 'せ', 'られる', 'こと']",['作家'],NO,作家,NO,NO
43,作家,親子密着の背景にある親や夫婦の問題を話し合った。激動の時代を生きた作家の戸川昌子さんの体験談や、多くの家族病理を扱う臨床心理士の信田さよ子さんらの報告に、,"['親子', '密着', 'の', '背景', 'に', 'ある', '親', 'や', '夫婦', 'の', '問題', 'を', '話し', '合った', '。', '激動', 'の', '時代', 'を', '生きた', '作家', 'の', '戸川', '昌子', 'さん', 'の', '体験', '談', 'や', '、', '多く', 'の', '家族', '病理', 'を', '扱う', '臨床', '心理', '士', 'の', '信', '田', 'さ', 'よ', '子', 'さん', 'ら', 'の', '報告', 'に', '、']",['作家'],NO,作家,NO,NO
44,作家,司馬遼太郎はどういう作家ですか？時代観察、そして人間観察に優れた歴史小説家でした。そして、とても優しい方だっ,"['司馬遼太郎', 'は', 'どういう', '作家', 'です', 'か', '？', '時代', '観察', '、', 'そして', '人間', '観察', 'に', '優れた', '歴史', '小説', '家', 'でした', '。', 'そして', '、', 'とても', '優しい', '方', 'だっ']",['作家'],NO,作家,NO,NO
45,作家,波田陽区のネタは作家が書いてるんですか？自作ですか？日テレの放送作家と、波田陽区の合作だ,"['波田', '陽', '区', 'の', 'ネタ', 'は', '作家', 'が', '書いて', 'る', 'んです', 'か', '？', '自作', 'です', 'か', '？', '日テレ', 'の', '放送', '作家', 'と', '、', '波田', '陽', '区', 'の', '合作', 'だ']",['作家'],NO,作家,NO,NO
46,作家,波田陽区のネタは作家が書いてるんですか？自作ですか？日テレの放送作家と、波田陽区の合作だ,"['波田', '陽', '区', 'の', 'ネタ', 'は', '作家', 'が', '書いて', 'る', 'んです', 'か', '？', '自作', 'です', 'か', '？', '日テレ', 'の', '放送', '作家', 'と', '、', '波田', '陽', '区', 'の', '合作', 'だ']",['作家'],NO,作家,NO,NO
47,作家,」については、「集団評論」をやったことがある。後に上海ではさらに、「作家の書評論」、「読者の書評論」、「出版者の書評論」、「書評家の語る,"['」', 'に', 'ついて', 'は', '、', '「', '集団', '評論', '」', 'を', 'やった', 'こと', 'が', 'ある', '。', '後', 'に', '上海', 'で', 'は', 'さらに', '、', '「', '作家', 'の', '書', '評論', '」', '、', '「', '読者', 'の', '書', '評論', '」', '、', '「', '出版', '者', 'の', '書', '評論', '」', '、', '「', '書評', '家', 'の', '語る']",['作家'],NO,作家,NO,NO
48,作家,、その地味さにおいて大きく差がつけられている作家、田山花袋。本書は忘れられがちな明治の作家に脚光を浴びせて、世に問うただけでも称されるべきものと思う。,"['、', 'その', '地味', 'さ', 'に', 'おいて', '大きく', '差', 'が', 'つけ', 'られて', 'いる', '作家', '、', '田山', '花', '袋', '。', '本書', 'は', '忘れ', 'られ', 'がちな', '明治', 'の', '作家', 'に', '脚光', 'を', '浴びせて', '、', '世に', '問うた', 'だけ', 'でも', '称さ', 'れる', 'べき', 'もの', 'と', '思う', '。']",['作家'],NO,作家,NO,NO
