,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,弁護士,３よい弁護士とは？弁護士が当事者の代理人として、専門知識を駆使しながら紛争を解決に導いていくためには、その,"['３', 'よい', '弁護士', 'と', 'は', '？', '弁護士', 'が', '当事者', 'の', '代理人', 'として', '、', '専門', '知識', 'を', '駆使', 'し', 'ながら', '紛争', 'を', '解決', 'に', '導い', 'て', 'いく', 'ため', 'に', 'は', '、', 'その']",['弁護士'],NO,弁護士,NO,NO
1,弁護士,３よい弁護士とは？弁護士が当事者の代理人として、専門知識を駆使しながら紛争を解決に導いていくためには、その,"['３', 'よい', '弁護士', 'と', 'は', '？', '弁護士', 'が', '当事者', 'の', '代理人', 'として', '、', '専門', '知識', 'を', '駆使', 'し', 'ながら', '紛争', 'を', '解決', 'に', '導い', 'て', 'いく', 'ため', 'に', 'は', '、', 'その']",['弁護士'],NO,弁護士,NO,NO
2,弁護士,なるだけで、とても成功などおぼつかない場合が多いのが現実だ。もちろん、元大リーガーが弁護士や医師になったというケースはあることはあるが、日本では、そういう,"['なる', 'だけ', 'で', '、', 'とても', '成功', 'など', 'おぼつかない', '場合', 'が', '多い', 'の', 'が', '現実', 'だ', '。', 'もちろん', '、', '元', '大リーガー', 'が', '弁護士', 'や', '医師', 'に', 'なっ', 'た', 'という', 'ケース', 'は', 'ある', 'こと', 'は', 'ある', 'が', '、', '日本', 'で', 'は', '、', 'そう', 'いう']",['弁護士'],NO,弁護士,NO,NO
3,弁護士,。これによると、当時の弁護士０〜１地域は七十七支部管内にも及んでおり、わが国において身近に弁護士の相談を受けることのできない地域住民が広範に存在することが示された。この,"['。', 'これ', 'に', 'よる', 'と', '、', '当時', 'の', '弁護士', '０', '〜', '１', '地域', 'は', '七', '十', '七', '支部', '管内', 'に', 'も', '及ん', 'で', 'おり', '、', 'わが国', 'において', '身近', 'に', '弁護士', 'の', '相談', 'を', '受ける', 'こと', 'の', 'でき', 'ない', '地域', '住民', 'が', '広範', 'に', '存在', 'する', 'こと', 'が', '示さ', 'れ', 'た', '。', 'この']",['弁護士'],NO,弁護士,NO,NO
4,弁護士,。これによると、当時の弁護士０〜１地域は七十七支部管内にも及んでおり、わが国において身近に弁護士の相談を受けることのできない地域住民が広範に存在することが示された。この,"['。', 'これ', 'に', 'よる', 'と', '、', '当時', 'の', '弁護士', '０', '〜', '１', '地域', 'は', '七', '十', '七', '支部', '管内', 'に', 'も', '及ん', 'で', 'おり', '、', 'わが国', 'において', '身近', 'に', '弁護士', 'の', '相談', 'を', '受ける', 'こと', 'の', 'でき', 'ない', '地域', '住民', 'が', '広範', 'に', '存在', 'する', 'こと', 'が', '示さ', 'れ', 'た', '。', 'この']",['弁護士'],NO,弁護士,NO,NO
5,弁護士,。イボは、息子によって叶えられなかった夢を孫のポールに託した。弁護士は、法の国アメリカで重要な職業である。孫を弁護士にしようと、イボは,"['。', 'イボ', 'は', '、', '息子', 'によって', '叶え', 'られ', 'なかっ', 'た', '夢', 'を', '孫', 'の', 'ポール', 'に', '託し', 'た', '。', '弁護士', 'は', '、', '法', 'の', '国', 'アメリカ', 'で', '重要', 'な', '職業', 'で', 'ある', '。', '孫', 'を', '弁護士', 'に', 'しよ', 'う', 'と', '、', 'イボ', 'は']",['弁護士'],NO,弁護士,NO,NO
6,弁護士,。イボは、息子によって叶えられなかった夢を孫のポールに託した。弁護士は、法の国アメリカで重要な職業である。孫を弁護士にしようと、イボは,"['。', 'イボ', 'は', '、', '息子', 'によって', '叶え', 'られ', 'なかっ', 'た', '夢', 'を', '孫', 'の', 'ポール', 'に', '託し', 'た', '。', '弁護士', 'は', '、', '法', 'の', '国', 'アメリカ', 'で', '重要', 'な', '職業', 'で', 'ある', '。', '孫', 'を', '弁護士', 'に', 'しよ', 'う', 'と', '、', 'イボ', 'は']",['弁護士'],NO,弁護士,NO,NO
7,弁護士,がついていること、世間で弁護士が「万能の法律家」でいられることを、弁護士も国民・市民も率直に認めるべきだろう。（十一）司法書士にたいする弁護士の認識で驚かさ,"['が', 'つい', 'て', 'いる', 'こと', '、', '世間', 'で', '弁護士', 'が', '「', '万能', 'の', '法律', '家', '」', 'で', 'い', 'られる', 'こと', 'を', '、', '弁護士', 'も', '国民', '・', '市民', 'も', '率直', 'に', '認める', 'べき', 'だろ', 'う', '。', '（', '十', '一', '）', '司法', '書士', 'にたいする', '弁護士', 'の', '認識', 'で', '驚かさ']",['弁護士'],NO,弁護士,NO,NO
8,弁護士,がついていること、世間で弁護士が「万能の法律家」でいられることを、弁護士も国民・市民も率直に認めるべきだろう。（十一）司法書士にたいする弁護士の認識で驚かさ,"['が', 'つい', 'て', 'いる', 'こと', '、', '世間', 'で', '弁護士', 'が', '「', '万能', 'の', '法律', '家', '」', 'で', 'い', 'られる', 'こと', 'を', '、', '弁護士', 'も', '国民', '・', '市民', 'も', '率直', 'に', '認める', 'べき', 'だろ', 'う', '。', '（', '十', '一', '）', '司法', '書士', 'にたいする', '弁護士', 'の', '認識', 'で', '驚かさ']",['弁護士'],NO,弁護士,NO,NO
9,弁護士,がついていること、世間で弁護士が「万能の法律家」でいられることを、弁護士も国民・市民も率直に認めるべきだろう。（十一）司法書士にたいする弁護士の認識で驚かさ,"['が', 'つい', 'て', 'いる', 'こと', '、', '世間', 'で', '弁護士', 'が', '「', '万能', 'の', '法律', '家', '」', 'で', 'い', 'られる', 'こと', 'を', '、', '弁護士', 'も', '国民', '・', '市民', 'も', '率直', 'に', '認める', 'べき', 'だろ', 'う', '。', '（', '十', '一', '）', '司法', '書士', 'にたいする', '弁護士', 'の', '認識', 'で', '驚かさ']",['弁護士'],NO,弁護士,NO,NO
