,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,諸官庁,その了解を得なければ国会に提出することができない。それに見合うように、日本の諸官庁は大蔵省に予算を要求するが、その前にアメリカ側の担当部局の諒承をとらなければ,"['その', '了解', 'を', '得', 'なければ', '国会', 'に', '提出', 'する', 'こと', 'が', 'でき', 'ない', '。', 'それ', 'に', '見合う', 'ように', '、', '日本', 'の', '諸', '官庁', 'は', '大蔵', '省', 'に', '予算', 'を', '要求', 'する', 'が', '、', 'その', '前', 'に', 'アメリカ', '側', 'の', '担当', '部局', 'の', '諒承', 'を', 'とら', 'なければ']","['諸', '官庁']",YES,諸官庁,NO,NO
1,諸官庁,内容は，現実には，さまざまな政治的圧力集団を背後にもつ政治家の要求に対応しながら諸官庁が決定しており，全体的な合理性が考慮されているとはいいがたい．公共事業の多くは中央政府,"['内容', 'は', '，', '現実', 'に', 'は', '，', 'さまざまな', '政治', '的', '圧力', '集団', 'を', '背後', 'に', 'もつ', '政治', '家', 'の', '要求', 'に', '対応', 'し', 'ながら', '諸', '官庁', 'が', '決定', 'して', 'おり', '，', '全体', '的な', '合理', '性', 'が', '考慮', 'さ', 'れて', 'いる', 'と', 'は', 'いいがたい', '．', '公共', '事業', 'の', '多く', 'は', '中央', '政府']","['諸', '官庁']",YES,諸官庁,NO,NO
2,諸官庁,、同時に外務省も当然窓口でございますから外務省、労働省ですか、その辺の諸官庁の関係者を中心としまして、ときには業界代表の意見も聞いても結構,"['、', '同時に', '外務', '省', 'も', '当然', '窓口', 'で', 'ございます', 'から', '外務', '省', '、', '労働', '省', 'です', 'か', '、', 'その辺', 'の', '諸', '官庁', 'の', '関係', '者', 'を', '中心', 'と', 'し', 'まして', '、', 'ときに', 'は', '業界', '代表', 'の', '意見', 'も', '聞いて', 'も', '結構']","['諸', '官庁']",YES,諸官庁,NO,NO
3,諸官庁,長野県警捜査本部は県合同庁舎の一角にある。長野市の中心部からわずかに西に寄った、諸官庁やオフィスビルが集まった地域の、文字どおり中枢に位置する。庁舎ビルの屋上にのぼると、,"['長野', '県警', '捜査', '本部', 'は', '県', '合同', '庁舎', 'の', '一角', 'に', 'ある', '。', '長野', '市', 'の', '中心', '部', 'から', 'わずかに', '西', 'に', '寄った', '、', '諸', '官庁', 'や', 'オフィス', 'ビル', 'が', '集まった', '地域', 'の', '、', '文字どおり', '中枢', 'に', '位置', 'する', '。', '庁舎', 'ビル', 'の', '屋上', 'に', 'のぼる', 'と', '、']","['諸', '官庁']",YES,諸官庁,NO,NO
4,諸官庁,た文化，社会教育施設としての勤労青少年ホーム，勤労婦人センター，勤労者総合福祉センター，勤労青少年体育施設，老人福祉センターなどの機能施設は，諸官庁に属し社会教育局のみの所管でなく，広く国家行政関連省庁によって，設置運営がなされていることに注目せ,"['た', '文化', '，', '社会', '教育', '施設', 'と', 'して', 'の', '勤労', '青少年', 'ホーム', '，', '勤労', '婦人', 'センター', '，', '勤労', '者', '総合', '福祉', 'センター', '，', '勤労', '青少年', '体育', '施設', '，', '老人', '福祉', 'センター', 'など', 'の', '機能', '施設', 'は', '，', '諸', '官庁', 'に', '属し', '社会', '教育', '局', 'のみ', 'の', '所管', 'で', 'なく', '，', '広く', '国家', '行政', '関連', '省庁', 'に', 'よって', '，', '設置', '運営', 'が', 'なされて', 'いる', 'こと', 'に', '注目', 'せ']","['諸', '官庁']",YES,諸官庁,NO,NO
5,諸官庁,。次の記事は中郡の記事である。中郡では各小学校、中等学校、公共団体、諸官庁で御大典を永久に記念すべき有意義な事業が計画されているが最も注目を払われ,"['。', '次の', '記事', 'は', '中', '郡', 'の', '記事', 'である', '。', '中', '郡', 'で', 'は', '各', '小学校', '、', '中等', '学校', '、', '公共', '団体', '、', '諸', '官庁', 'で', '御大典', 'を', '永久', 'に', '記念', 'す', 'べき', '有意義な', '事業', 'が', '計画', 'さ', 'れて', 'いる', 'が', '最も', '注目', 'を', '払わ', 'れ']","['諸', '官庁']",YES,諸官庁,NO,NO
6,諸官庁,倒産に追い込まれ、五十万人以上の失業者が街にあふれ出した。自動車産業も例外ではなく、諸官庁の予算削減と運輸業者の経営不振から購買力が低下して需要が激減し始めた。背に腹は,"['倒産', 'に', '追い', '込ま', 'れ', '、', '五十万', '人', '以上', 'の', '失業', '者', 'が', '街', 'に', 'あふれ', '出した', '。', '自動車', '産業', 'も', '例外', 'で', 'は', 'なく', '、', '諸', '官庁', 'の', '予算', '削減', 'と', '運輸', '業者', 'の', '経営', '不振', 'から', '購買', '力', 'が', '低下', 'して', '需要', 'が', '激減', 'し', '始めた', '。', '背', 'に', '腹', 'は']","['諸', '官庁']",YES,諸官庁,NO,NO
7,諸官庁,到着した日はあいにくと金曜日だった。この日は回教国ペルシアの休日にあたっていて諸官庁も休みである。そこで外務省への出頭はひとまず見合わせることにし、英国ホテルというところ,"['到着', 'した', '日', 'は', 'あいにく', 'と', '金曜日', 'だった', '。', 'この', '日', 'は', '回教', '国', 'ペルシア', 'の', '休日', 'に', 'あたって', 'いて', '諸', '官庁', 'も', '休み', 'である', '。', 'そこ', 'で', '外務', '省', 'へ', 'の', '出頭', 'は', 'ひとまず', '見合わせる', 'こと', 'に', 'し', '、', '英国', 'ホテル', 'と', 'いう', 'ところ']","['諸', '官庁']",YES,諸官庁,NO,NO
8,諸官庁,、発想力、販売力、この五つを学び、使わせていただこうというのです。もちろん中央の諸官庁からの出向もいただいておりますが、これはいわば同業種交流で、それも大事ですが,"['、', '発想', '力', '、', '販売', '力', '、', 'この', '五', 'つ', 'を', '学び', '、', '使わ', 'せて', 'いただこう', 'と', 'いう', 'のです', '。', 'もちろん', '中央', 'の', '諸', '官庁', 'から', 'の', '出向', 'も', 'いただいて', 'おり', 'ます', 'が', '、', 'これ', 'は', 'いわば', '同', '業種', '交流', 'で', '、', 'それ', 'も', '大事です', 'が']","['諸', '官庁']",YES,諸官庁,NO,NO
9,諸官庁,ないほどの荒稽古をつけてやると、進藤は一瞬考えたが、現在の鉄道も諸官庁も、命令に従わない奴は、遠慮なく首を切っている就職の難しい時代に,"['ない', 'ほど', 'の', '荒', '稽古', 'を', 'つけて', 'やる', 'と', '、', '進藤', 'は', '一瞬', '考えた', 'が', '、', '現在', 'の', '鉄道', 'も', '諸', '官庁', 'も', '、', '命令', 'に', '従わ', 'ない', '奴', 'は', '、', '遠慮', 'なく', '首', 'を', '切って', 'いる', '就職', 'の', '難しい', '時代', 'に']","['諸', '官庁']",YES,諸官庁,NO,NO
